district,school_name,project_#,description,fy_constr_start,total
03,P.S. 241 - Manhattan,DSF0000740181,Educational Enhancements - Educational Enhancements - School Improvement and,2013,965146
03,P.S. 241 - Manhattan,DSF0000777680,Educational Enhancements - Educational Enhancements - Room,2014,734859
03,I.S. 118 - Manhattan,DSF0000688278,State of Good Repair - Building Upgrade - Reinforcing Support Elements,2011,1007710
03,P.S. 242 (OLD P144) - Manhattan,DSF0000674404,State of Good Repair - System Replacements - Exterior Masonry,2012,482628
03,P.S. 242 (OLD P144) - Manhattan,DSF0000719382,State of Good Repair - System Replacements - Roofs,2012,2064779
03,P.S. 242 (OLD P144) - Manhattan,DSF0000719383,State of Good Repair - System Replacements - Parapets,2012,1238971
03,P.S. 145 - Manhattan,DSF0000775605,State of Good Repair - Building Upgrade - Boiler Conversion,2014,3867332
03,P.S. 145 - Manhattan,DSF0000775606,State of Good Repair - Building Upgrade - Climate Control,2014,475925
03,P.S. 149 (TANDEM M207) - Manhattan,DSF0000731388,State of Good Repair - Building Upgrade - Boiler Conversion,2012,4320567
03,P.S. 149 (TANDEM M207) - Manhattan,DSF0000731389,State of Good Repair - Building Upgrade - Climate Control,2012,1559483
03,P.S. 149 (TANDEM M207) - Manhattan,DSF0000775557,Educational Enhancements - Educational Enhancements - School Improvement and,2013,65919
03,P.S. 165 - Manhattan,DSF0000698440,State of Good Repair - System Replacements - Roofs,2012,1836089
03,P.S. 165 - Manhattan,DSF0000719616,State of Good Repair - Building Upgrade - Flood Elimination,2012,833206
03,P.S. 165 - Manhattan,DSF0000719618,State of Good Repair - System Replacements - Parapets,2012,164049
03,P.S. 165 - Manhattan,DSF0000719619,State of Good Repair - System Replacements - Exterior Masonry,2012,1386558
03,P.S. 166 - Manhattan,DSF0000740854,State of Good Repair - System Replacements - Paved Area-Concrete,2014,1013689
03,P.S. 180 - Manhattan,DSF0000740976,State of Good Repair - System Replacements - Parapets,2014,1544700
03,P.S. 180 - Manhattan,DSF0000763951,State of Good Repair - System Replacements - Exterior Masonry,2014,3008698
03,P.S. 191 - Manhattan,DSF0000719858,State of Good Repair - System Replacements - Parapets,2013,1401858
03,P.S. 191 - Manhattan,DSF0000719859,State of Good Repair - System Replacements - Exterior Masonry,2013,6558509
03,P.S. 191 - Manhattan,DSF0000753140,State of Good Repair - System Replacements - Roofs,2013,930112
03,P.S. 199 - Manhattan,DSF0000741194,Reinforcing Cinder Concrete Slabs,2013,519039
03,P.S. 199 - Manhattan,DSF0000754296,Educational Enhancements - Educational Enhancements - Room,2013,194358
03,P.S. 207 (TANDEM M149) - Manhattan,DSF0000777679,Educational Enhancements - Educational Enhancements - Room,2014,818621
03,P.S. 208 (TANDEM M185) - Manhattan,DSF0000775534,Educational Enhancements - Educational Enhancements - School Improvement and,2013,52000
04,P.S. 7 - Manhattan,DSF0000731398,State of Good Repair - Rehabilitation of Physical Education Facilities - Playground,2012,126644
04,P.S. 7 - Manhattan,DSF0000752344,State of Good Repair - Building Upgrade - Boiler Conversion,2013,3337896
04,P.S. 7 - Manhattan,DSF0000752345,State of Good Repair - Building Upgrade - Climate Control,2013,1799277
04,I.S. 13 - Manhattan,DSF0000739182,State of Good Repair - System Replacements - Gymnasium Upgrade,2014,1011908
04,I.S. 13 - Manhattan,DSF0000775535,Educational Enhancements - Educational Enhancements - School Improvement and,2013,52000
04,I.S. 13 - Manhattan,DSF0000775536,Educational Enhancements - Educational Enhancements - School Improvement and,2013,52000
04,I.S. 13 - Manhattan,DSF0000798579,Educational Enhancements - Educational Enhancements - School Improvement and,2014,73368
04,I.S. 45 - Manhattan,DSF0000673270,State of Good Repair - System Replacements - Roofs,2011,509919
04,I.S. 45 - Manhattan,DSF0000673271,State of Good Repair - System Replacements - Parapets,2011,1236754
04,I.S. 45 - Manhattan,DSF0000673272,State of Good Repair - System Replacements - Exterior Masonry,2011,5329608
04,I.S. 45 - Manhattan,DSF0000718256,State of Good Repair - System Replacements - Auditorium Upgrade,2012,1327999
04,I.S. 45 - Manhattan,DSF0000775537,Educational Enhancements - Educational Enhancements - School Improvement and,2013,146000
04,I.S. 45 - Manhattan,DSF0000775538,Educational Enhancements - Educational Enhancements - School Improvement and,2013,104000
04,I.S. 45 - Manhattan,DSF0000777265,Educational Enhancements - Educational Enhancements - Room,2014,362522
04,P.S. 50 (UDC & ECF) - Manhattan,DSF0000622650,State of Good Repair - Building Upgrade - Boiler Conversion,2011,3100207
04,P.S. 50 (UDC & ECF) - Manhattan,DSF0000673342,State of Good Repair - Building Upgrade - Climate Control,2011,1320640
04,P.S. 50 (UDC & ECF) - Manhattan,DSF0000673352,State of Good Repair - System Replacements - Paved Area-Blacktop,2010,620662
04,P.S. 50 (UDC & ECF) - Manhattan,DSF0000739575,Educational Enhancements - Educational Enhancements - Library Upgrades,2014,960405
04,P.S. 50 (UDC & ECF) - Manhattan,DSF0000777267,Educational Enhancements - Educational Enhancements - Room,2014,487614
04,P.S. 96 - Manhattan,DSF0000673794,State of Good Repair - System Replacements - Paved Area-Blacktop,2011,1114929
04,P.S. 96 - Manhattan,DSF0000673796,State of Good Repair - System Replacements - Fencing,2011,737359
04,I.S. 99 - Manhattan,DSF0000731415,Educational Enhancements - Educational Enhancements - Room,2012,339888
04,I.S. 99 - Manhattan,DSF0000740042,State of Good Repair - System Replacements - Roofs,2013,1449467
04,I.S. 99 - Manhattan,DSF0000777678,Educational Enhancements - Educational Enhancements - Room,2014,393768
04,I.S. 99 - Manhattan,SCA0000018233,State of Good Repair - System Replacements - Parapets,2013,4698373
04,I.S. 99 - Manhattan,SCA0000018314,State of Good Repair - System Replacements - Exterior Masonry,2013,1200791
04,P.S. 101 - Manhattan,DSF0000710205,Educational Enhancements - Educational Enhancements - School Improvement and,2011,543427
04,P.S. 101 - Manhattan,DSF0000731352,Educational Enhancements - Educational Enhancements - Room,2011,TBD
04,P.S. 101 - Manhattan,DSF0000731403,Educational Enhancements - Educational Enhancements - Room,2012,256847
04,P.S. 101 - Manhattan,DSF0000752346,State of Good Repair - Building Upgrade - Boiler Conversion,2014,3997813
04,P.S. 101 - Manhattan,DSF0000752347,State of Good Repair - Building Upgrade - Climate Control,2014,225082
04,P.S. 101 - Manhattan,DSF0000753148,Educational Enhancements - Educational Enhancements - Room,2013,646799
04,P.S. 101 - Manhattan,DSF0000775539,Educational Enhancements - Educational Enhancements - School Improvement and,2013,52000
04,P.S. 101 - Manhattan,DSF0000775540,Educational Enhancements - Educational Enhancements - School Improvement and,2013,92640
04,P.S. 101 - Manhattan,DSF0000775965,Educational Enhancements - Educational Enhancements - Room,2014,194483
04,P.S. 112 (TANDEM M206) - Manhattan,DSF0000710098,State of Good Repair - System Replacements - Exterior Masonry,2011,904613
04,P.S. 112 (TANDEM M206) - Manhattan,DSF0000710099,State of Good Repair - System Replacements - Roofs,2011,617639
04,P.S. 112 (TANDEM M206) - Manhattan,DSF0000710100,State of Good Repair - System Replacements - Parapets,2011,156551
04,P.S. 112 (TANDEM M206) - Manhattan,DSF0000752352,State of Good Repair - Building Upgrade - Boiler Conversion,2013,860818
04,J.H.S. 117 - Manhattan,DSF0000752858,State of Good Repair - Rehabilitation of Physical Education Facilities - Playground,2012,358713
04,J.H.S. 117 - Manhattan,DSF0000763207,State of Good Repair - Building Upgrade - Elevators and Escalators,2014,176198
04,P.S. 38 (OLD M121) - Manhattan,DSF0000740282,State of Good Repair - System Replacements - Auditorium Upgrade,2013,1487366
04,P.S. 146 - Manhattan,DSF0000752350,State of Good Repair - Building Upgrade - Boiler Conversion,2013,3534960
04,P.S. 146 - Manhattan,DSF0000752351,State of Good Repair - Building Upgrade - Climate Control,2013,1100332
04,P.S. 155 - Manhattan,DSF0000674535,State of Good Repair - Building Upgrade - Flood Elimination,2011,575319
