district,schoolname,project#,description,fyconstrstart,total,buildingid,geom,facuid,cd
33Q,OSSS / DSF - Queens,DSF0000688160,Safety and Security - Safety and Security - School Safety,2013,1750113,Q801,,12390,
33Q,OSSS / DSF - Queens,DSF0000623263,Ancillary Facilities - Administrative Support - Administrative Support,2010,4714634,Q801,,12390,
33Q,OSSS / DSF - Queens,DSF0000411715,Ancillary Facilities - Administrative Support - Administrative Support,2010,4497309,Q801,,12390,
33Q,OSSS / DSF - Queens,DSF0000731466,State of Good Repair - System Replacements - Roofs,2013,4099958,Q801,,12390,
33Q,OSSS / DSF - Queens,DSF0000752835,State of Good Repair - System Replacements - Parapets,2013,608614,Q801,,12390,
78X,ALFRED E. SMITH HS - Bronx,DSF0000775682,Educational Enhancements - Educational Enhancements - Room,2013,662855,X600,0101000020E610000050739079DF7A52C09598AB04C9684440,12390,201
31,ARTHUR D. PHILLIPS SCHOOL - Staten Island,DSF0000710034,State of Good Repair - System Replacements - Roofs,2011,670986,R829,0101000020E610000063CC71F2018552C0BD6181ED1D514440,12390,501
78M,ARTHUR SCHOMBURG HS (IS 201) - Manhattan,DSF0000776009,Educational Enhancements - Educational Enhancements - Room,2014,1052459,M501,0101000020E610000093520C30127C52C08438BC114B674440,12390,111
78M,ARTHUR SCHOMBURG HS (IS 201) - Manhattan,DSF0000689644,State of Good Repair - System Replacements - Roofs,2011,7167273,M501,0101000020E610000093520C30127C52C08438BC114B674440,12390,111
78M,ARTHUR SCHOMBURG HS (IS 201) - Manhattan,DSF0000732423,Educational Enhancements - Educational Enhancements - Room,2012,255066,M501,0101000020E610000093520C30127C52C08438BC114B674440,12390,111
78M,ARTHUR SCHOMBURG HS (IS 201) - Manhattan,DSF0000710272,State of Good Repair - System Replacements - Parapets,2011,923594,M501,0101000020E610000093520C30127C52C08438BC114B674440,12390,111
78M,ARTHUR SCHOMBURG HS (IS 201) - Manhattan,DSF0000776008,Educational Enhancements - Educational Enhancements - Room,2014,382567,M501,0101000020E610000093520C30127C52C08438BC114B674440,12390,111
78Q,AUGUST MARTIN HS - Queens,DSF0000745729,State of Good Repair - System Replacements - Parapets,2014,8135363,Q400,0101000020E6100000485CD7A3207252C049B5CB0F5E564440,12390,412
78Q,AUGUST MARTIN HS - Queens,DSF0000775831,Educational Enhancements - Educational Enhancements - School Improvement and,2014,1407119,Q400,0101000020E6100000485CD7A3207252C049B5CB0F5E564440,12390,412
78Q,AUGUST MARTIN HS - Queens,DSF0000745730,State of Good Repair - System Replacements - Exterior Masonry,2014,3428817,Q400,0101000020E6100000485CD7A3207252C049B5CB0F5E564440,12390,412
78Q,AUGUST MARTIN HS - Queens,DSF0000745728,State of Good Repair - System Replacements - Roofs,2014,5327969,Q400,0101000020E6100000485CD7A3207252C049B5CB0F5E564440,12390,412
78K,AUTOMOTIVE TRADES VOC HS - Brooklyn,DSF0000696126,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2011,565183,K610,0101000020E6100000896B3AD3077D52C09A2B6BD0715C4440,12390,301
78K,AUTOMOTIVE TRADES VOC HS - Brooklyn,DSF0000822244,State of Good Repair - System Replacements - Domestic Piping,2014,92724,K610,0101000020E6100000896B3AD3077D52C09A2B6BD0715C4440,12390,301
78K,AUTOMOTIVE TRADES VOC HS - Brooklyn,DSF0000688279,Safety and Security - Safety and Security - Code Compliance,2010,534122,K610,0101000020E6100000896B3AD3077D52C09A2B6BD0715C4440,12390,301
78M,BARD COLLEGE HS (OLD M097) - Manhattan,DSF0000762993,State of Good Repair - Building Upgrade - Reinforcing Cinder Concrete Slabs,2014,553857,M097,0101000020E6100000E2979719787E52C00A22CA3CF05B4440,12390,103
78X,BATHGATE HS - Bronx,DSF0000752825,Educational Enhancements - Educational Enhancements - Room,2013,198605,X970,0101000020E61000000E6E5F42B87952C053E33672736B4440,12390,203
78M,BAYARD RUSTIN EDUCATIONAL COMP - Manhattan,DSF0000710031,Educational Enhancements - Educational Enhancements - School Improvement and,2011,2197451,M440,0101000020E6100000DD7637F5288052C012BB594D265F4440,12390,104
78M,BAYARD RUSTIN EDUCATIONAL COMP - Manhattan,DSF0000709436,Educational Enhancements - Educational Enhancements - Room,2010,518946,M440,0101000020E6100000DD7637F5288052C012BB594D265F4440,12390,104
78M,BAYARD RUSTIN EDUCATIONAL COMP - Manhattan,DSF0000709440,Educational Enhancements - Educational Enhancements - Room,2011,4388703,M440,0101000020E6100000DD7637F5288052C012BB594D265F4440,12390,104
78M,BAYARD RUSTIN EDUCATIONAL COMP - Manhattan,DSF0000710076,Educational Enhancements - Educational Enhancements - Room,2010,150617,M440,0101000020E6100000DD7637F5288052C012BB594D265F4440,12390,104
78M,BAYARD RUSTIN EDUCATIONAL COMP - Manhattan,DSF0000731147,Educational Enhancements - Educational Enhancements - Room,2012,4423076,M440,0101000020E6100000DD7637F5288052C012BB594D265F4440,12390,104
78M,BAYARD RUSTIN EDUCATIONAL COMP - Manhattan,DSF0000752935,Educational Enhancements - Educational Enhancements - School Improvement and,2013,908403,M440,0101000020E6100000DD7637F5288052C012BB594D265F4440,12390,104
78M,BAYARD RUSTIN EDUCATIONAL COMP - Manhattan,DSF0000764286,Educational Enhancements - Educational Enhancements - School Improvement and,2014,1412141,M440,0101000020E6100000DD7637F5288052C012BB594D265F4440,12390,104
78Q,BAYSIDE HS - Queens,DSF0000745754,State of Good Repair - System Replacements - Parapets,2014,5458895,Q405,0101000020E6100000D52C4C3DFC7152C04764C242BC624440,12390,411
78Q,BAYSIDE HS - Queens,DSF0000768667,State of Good Repair - Rehabilitation of Physical Education Facilities - Swimming Pools,2014,4478395,Q405,0101000020E6100000D52C4C3DFC7152C04764C242BC624440,12390,411
78Q,BAYSIDE HS - Queens,DSF0000724424,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2013,1286336,Q405,0101000020E6100000D52C4C3DFC7152C04764C242BC624440,12390,411
78Q,BAYSIDE HS - Queens,DSF0000768670,State of Good Repair - System Replacements - Exterior Masonry,2014,9481427,Q405,0101000020E6100000D52C4C3DFC7152C04764C242BC624440,12390,411
78Q,BAYSIDE HS - Queens,DSF0000768677,State of Good Repair - System Replacements - Paved Area-Concrete,2014,3162936,Q405,0101000020E6100000D52C4C3DFC7152C04764C242BC624440,12390,411
78Q,BAYSIDE HS - Queens,DSF0000687333,Educational Enhancements - Educational Enhancements - Room,2010,144531,Q405,0101000020E6100000D52C4C3DFC7152C04764C242BC624440,12390,411
78Q,BAYSIDE HS - Queens,DSF0000745753,State of Good Repair - System Replacements - Roofs,2014,4512725,Q405,0101000020E6100000D52C4C3DFC7152C04764C242BC624440,12390,411
78Q,BEACH CHANNEL EDUCATIONAL CAMPUS - Queens,DSF0000745774,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2014,7181087,Q410,0101000020E61000004B6AF8C0B57452C0125EEED8144B4440,12390,414
78Q,BEACH CHANNEL EDUCATIONAL CAMPUS - Queens,DSF0000411279,State of Good Repair - System Replacements - Paved Area-Concrete,2010,8257090,Q410,0101000020E61000004B6AF8C0B57452C0125EEED8144B4440,12390,414
78Q,BEACH CHANNEL EDUCATIONAL CAMPUS - Queens,DSF0000768689,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2014,4549060,Q410,0101000020E61000004B6AF8C0B57452C0125EEED8144B4440,12390,414
78Q,BEACH CHANNEL EDUCATIONAL CAMPUS - Queens,DSF0000411280,State of Good Repair - System Replacements - Fencing,2010,410735,Q410,0101000020E61000004B6AF8C0B57452C0125EEED8144B4440,12390,414
78K,BKLYN HS OF THE ARTS (OL S J HL) - Brooklyn,DSF0000622214,Safety and Security - Safety and Security - Code Compliance,2011,1383557,K655,0101000020E610000093B88604BD7E52C0462861A68C574440,12390,302
78K,BKLYN HS OF THE ARTS (OL S J HL) - Brooklyn,DSF0000671935,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2010,892027,K655,0101000020E610000093B88604BD7E52C0462861A68C574440,12390,302
78K,BOYS & GIRLS HS - Brooklyn,DSF0000710200,Educational Enhancements - Educational Enhancements - Library Upgrades,2012,692058,K455,0101000020E6100000F24975509F7B52C010310338E7564440,12390,303
78K,BOYS & GIRLS HS - Brooklyn,DSF0000752342,State of Good Repair - Building Upgrade - Boiler Conversion,2014,5569199,K455,0101000020E6100000F24975509F7B52C010310338E7564440,12390,303
78K,BOYS & GIRLS HS - Brooklyn,DSF0000752343,State of Good Repair - Building Upgrade - Climate Control,2014,3410569,K455,0101000020E6100000F24975509F7B52C010310338E7564440,12390,303
12,P.S. 6 - Bronx,DSF0000688260,State of Good Repair - Building Upgrade - Reinforcing Support Elements,2010,874297,X006,0101000020E6100000DD0C9B84797852C0BC789DAA9C6B4440,12390,206
78X,BRONX HS OF SCIENCE - Bronx,DSF0000688188,Educational Enhancements - Educational Enhancements - Room,2010,14950,X445,0101000020E6100000BD014194037952C089A2BFC16D704440,12390,207
78X,BRONX HS OF SCIENCE - Bronx,DSF0000751433,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2013,2861189,X445,0101000020E6100000BD014194037952C089A2BFC16D704440,12390,207
78X,BRONX HS OF SCIENCE - Bronx,DSF0000751437,State of Good Repair - System Replacements - Roofs,2013,226479,X445,0101000020E6100000BD014194037952C089A2BFC16D704440,12390,207
78X,BRONX HS OF SCIENCE - Bronx,DSF0000751439,State of Good Repair - System Replacements - Exterior Masonry,2013,2065565,X445,0101000020E6100000BD014194037952C089A2BFC16D704440,12390,207
78X,BRONX HS OF SCIENCE - Bronx,DSF0000754376,State of Good Repair - System Replacements - Paved Area-Concrete,2013,803149,X445,0101000020E6100000BD014194037952C089A2BFC16D704440,12390,207
78X,BRONX HS OF SCIENCE - Bronx,DSF0000754377,State of Good Repair - Building Upgrade - Flood Elimination,2013,686950,X445,0101000020E6100000BD014194037952C089A2BFC16D704440,12390,207
78X,BRONX LEADERSHIP ACADEMY - Bronx,DSF0000777283,State of Good Repair - Building Upgrade - Air Conditioning Retrofit,2014,216438,X876,0101000020E61000005D657381C97952C0FEDCDE5AF06B4440,12390,203
78X,BRONX REGIONAL HS (OLD 133) - Bronx,DSF0000775531,Educational Enhancements - Educational Enhancements - School Improvement and,2013,104000,X401,0101000020E6100000C8B1E6F57D7952C0FC85B31961694440,12390,202
78X,BRONX REGIONAL HS (OLD 133) - Bronx,DSF0000775530,Educational Enhancements - Educational Enhancements - School Improvement and,2013,104000,X401,0101000020E6100000C8B1E6F57D7952C0FC85B31961694440,12390,202
78X,BRONX REGIONAL HS (OLD 133) - Bronx,DSF0000731391,State of Good Repair - Building Upgrade - Boiler Conversion,2012,4356782,X401,0101000020E6100000C8B1E6F57D7952C0FC85B31961694440,12390,202
78X,BRONX REGIONAL HS (OLD 133) - Bronx,DSF0000731392,State of Good Repair - Building Upgrade - Climate Control,2012,1410935,X401,0101000020E6100000C8B1E6F57D7952C0FC85B31961694440,12390,202
78X,BRONX REGIONAL HS (OLD 133) - Bronx,DSF0000753095,Educational Enhancements - Educational Enhancements - School Improvement and,2013,796485,X401,0101000020E6100000C8B1E6F57D7952C0FC85B31961694440,12390,202
78K,BROOKLYN TECH HS - Brooklyn,DSF0000731519,State of Good Repair - System Replacements - Roofs,2012,192074,K430,0101000020E61000005CBE00F47D7E52C0832CD6C62E584440,12390,302
78K,BROOKLYN TECH HS - Brooklyn,DSF0000688194,Educational Enhancements - Educational Enhancements - Room,2010,319267,K430,0101000020E61000005CBE00F47D7E52C0832CD6C62E584440,12390,302
78K,BUSHWICK EDUCATIONAL CAMPUS - Brooklyn,DSF0000687153,Educational Enhancements - Educational Enhancements - School Improvement and,2010,2297467,K480,0101000020E6100000C1D248B25B7A52C01E62EC2A31594440,12390,304
78K,CANARSIE HS - Brooklyn,DSF0000752392,Educational Enhancements - Educational Enhancements - School Improvement and,2013,778784,K500,0101000020E6100000782D6515817952C0151031BCF9514440,12390,318
78K,CANARSIE HS - Brooklyn,DSF0000752393,Educational Enhancements - Educational Enhancements - School Improvement and,2013,571049,K500,0101000020E6100000782D6515817952C0151031BCF9514440,12390,318
78K,CANARSIE HS - Brooklyn,DSF0000783716,State of Good Repair - System Replacements - Toilets-Students,2014,64686,K500,0101000020E6100000782D6515817952C0151031BCF9514440,12390,318
78K,CANARSIE HS - Brooklyn,DSF0000710073,Educational Enhancements - Educational Enhancements - Room,2011,305775,K500,0101000020E6100000782D6515817952C0151031BCF9514440,12390,318
78X,CHRISTOPHER COLUMBUS HS - Bronx,DSF0000708477,State of Good Repair - System Replacements - Heating Plant Upgrade,2010,61954,X415,0101000020E61000003F81582E0F7752C014B5C3F6206E4440,12390,211
78X,CHRISTOPHER COLUMBUS HS - Bronx,DSF0000620273,State of Good Repair - System Replacements - Paved Area-Blacktop,2010,808806,X415,0101000020E61000003F81582E0F7752C014B5C3F6206E4440,12390,211
78X,CHRISTOPHER COLUMBUS HS - Bronx,DSF0000685683,State of Good Repair - Building Upgrade - Flood Elimination,2010,527659,X415,0101000020E61000003F81582E0F7752C014B5C3F6206E4440,12390,211
78X,CHRISTOPHER COLUMBUS HS - Bronx,DSF0000775749,Educational Enhancements - Educational Enhancements - Room,2014,3044117,X415,0101000020E61000003F81582E0F7752C014B5C3F6206E4440,12390,211
78M,CITY AS SCHOOL (OLD 95) - Manhattan,DSF0000777504,Safety and Security - Safety and Security - Emergency Lighting and Fire Safety Retrofits,2014,101308,M641,0101000020E61000002532C3A1648052C01C7718F6515D4440,12390,102
78M,CITY AS SCHOOL (OLD 95) - Manhattan,DSF0000752401,State of Good Repair - System Replacements - Electrical Systems,2013,597051,M641,0101000020E61000002532C3A1648052C01C7718F6515D4440,12390,102
78M,CITY AS SCHOOL (OLD 95) - Manhattan,DSF0000741840,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2013,778348,M641,0101000020E61000002532C3A1648052C01C7718F6515D4440,12390,102
78M,CITY AS SCHOOL (OLD 95) - Manhattan,DSF0000610028,State of Good Repair - System Replacements - Floors,2013,1707236,M641,0101000020E61000002532C3A1648052C01C7718F6515D4440,12390,102
78M,CITY AS SCHOOL (OLD 95) - Manhattan,DSF0000610019,State of Good Repair - Building Upgrade - Reinforcing Cinder Concrete Slabs,2013,696978,M641,0101000020E61000002532C3A1648052C01C7718F6515D4440,12390,102
78K,CLARA BARTON HS - Brooklyn,DSF0000761235,State of Good Repair - Building Upgrade - Elevators and Escalators,2013,314158,K600,0101000020E6100000C30A3329887D52C04DED3480A4554440,12390,309
78K,COBBLE HILL SCL OF AMR STD (OL6) - Brooklyn,DSF0000696371,State of Good Repair - Building Upgrade - Flood Elimination,2011,971364,K804,0101000020E61000003C9E45B06A7F52C0898EDEF3A9574440,12390,306
78K,COBBLE HILL SCL OF AMR STD (OL6) - Brooklyn,DSF0000696373,State of Good Repair - System Replacements - Exterior Masonry,2011,2601509,K804,0101000020E61000003C9E45B06A7F52C0898EDEF3A9574440,12390,306
78R,CONCORD HS (OLD 12) - Staten Island,DSF0000681857,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2011,689570,R470,0101000020E6100000CC82EEE28D8552C0AB40E9B32E4E4440,12390,501
78R,CONCORD HS (OLD 12) - Staten Island,DSF0000747730,State of Good Repair - System Replacements - Windows,2014,1885399,R470,0101000020E6100000CC82EEE28D8552C0AB40E9B32E4E4440,12390,501
78R,CONCORD HS (OLD 12) - Staten Island,DSF0000747731,State of Good Repair - System Replacements - Exterior Masonry,2014,2069896,R470,0101000020E6100000CC82EEE28D8552C0AB40E9B32E4E4440,12390,501
78R,CONCORD HS (OLD 12) - Staten Island,DSF0000770667,State of Good Repair - Building Upgrade - Flood Elimination,2014,232419,R470,0101000020E6100000CC82EEE28D8552C0AB40E9B32E4E4440,12390,501
78R,CONCORD HS (OLD 12) - Staten Island,DSF0000770668,State of Good Repair - System Replacements - Roofs,2014,325379,R470,0101000020E6100000CC82EEE28D8552C0AB40E9B32E4E4440,12390,501
78R,CURTIS HS - Staten Island,DSF0000770588,State of Good Repair - System Replacements - Parapets,2013,258952,R450,0101000020E61000002137C01B3D8552C07D6269D49B524440,12390,501
78R,CURTIS HS - Staten Island,SCA0000020373,State of Good Repair - System Replacements - Exterior Masonry,2013,6571078,R450,0101000020E61000002137C01B3D8552C07D6269D49B524440,12390,501
78R,CURTIS HS - Staten Island,DSF0000690211,Educational Enhancements - Educational Enhancements - Room,2010,226571,R450,0101000020E61000002137C01B3D8552C07D6269D49B524440,12390,501
78R,CURTIS HS - Staten Island,DSF0000775631,State of Good Repair - System Replacements - Windows,2013,3160904,R450,0101000020E61000002137C01B3D8552C07D6269D49B524440,12390,501
78R,CURTIS HS - Staten Island,DSF0000770606,State of Good Repair - System Replacements - Domestic Piping,2013,714127,R450,0101000020E61000002137C01B3D8552C07D6269D49B524440,12390,501
78R,CURTIS HS - Staten Island,DSF0000770587,State of Good Repair - System Replacements - Roofs,2013,5243168,R450,0101000020E61000002137C01B3D8552C07D6269D49B524440,12390,501
78X,DEWITT CLINTON HS - Bronx,DSF0000688296,State of Good Repair - System Replacements - Exterior Masonry,2010,278482,X440,0101000020E61000005614FF86CC7852C0B793EFC8CD704440,12390,207
78X,DEWITT CLINTON HS - Bronx,DSF0000777719,Educational Enhancements - Educational Enhancements - Room,2014,1391476,X440,0101000020E61000005614FF86CC7852C0B793EFC8CD704440,12390,207
78X,DEWITT CLINTON HS - Bronx,DSF0000777718,Educational Enhancements - Educational Enhancements - Room,2014,478376,X440,0101000020E61000005614FF86CC7852C0B793EFC8CD704440,12390,207
78X,DEWITT CLINTON HS - Bronx,DSF0000754394,Educational Enhancements - Educational Enhancements - Room,2013,674702,X440,0101000020E61000005614FF86CC7852C0B793EFC8CD704440,12390,207
78X,DEWITT CLINTON HS - Bronx,DSF0000751410,State of Good Repair - Building Upgrade - Reinforcing Support Elements,2013,179015,X440,0101000020E61000005614FF86CC7852C0B793EFC8CD704440,12390,207
78X,DEWITT CLINTON HS - Bronx,DSF0000708586,State of Good Repair - System Replacements - Heating Plant Upgrade,2010,79114,X440,0101000020E61000005614FF86CC7852C0B793EFC8CD704440,12390,207
78X,DEWITT CLINTON HS - Bronx,DSF0000688518,State of Good Repair - System Replacements - Roofs,2010,3571379,X440,0101000020E61000005614FF86CC7852C0B793EFC8CD704440,12390,207
78X,DEWITT CLINTON HS - Bronx,DSF0000688298,State of Good Repair - System Replacements - Parapets,2010,587000,X440,0101000020E61000005614FF86CC7852C0B793EFC8CD704440,12390,207
78X,DEWITT CLINTON HS - Bronx,DSF0000685810,State of Good Repair - System Replacements - Windows,2010,4490207,X440,0101000020E61000005614FF86CC7852C0B793EFC8CD704440,12390,207
78K,EDWARD R. MURROW HS - Brooklyn,DSF0000622594,State of Good Repair - System Replacements - Paved Area-Blacktop,2010,286318,K525,0101000020E6100000EEA41901627D52C0B1FECFA2544F4440,12390,314
78K,EDWARD R. MURROW HS - Brooklyn,DSF0000777219,State of Good Repair - Building Upgrade - Air Conditioning Retrofit,2014,42000,K525,0101000020E6100000EEA41901627D52C0B1FECFA2544F4440,12390,314
78K,EDWARD R. MURROW HS - Brooklyn,DSF0000775803,State of Good Repair - System Replacements - Roofs,2014,468540,K525,0101000020E6100000EEA41901627D52C0B1FECFA2544F4440,12390,314
78K,EDWARD R. MURROW HS - Brooklyn,DSF0000738213,State of Good Repair - System Replacements - Exterior Masonry,2014,5895405,K525,0101000020E6100000EEA41901627D52C0B1FECFA2544F4440,12390,314
78K,EDWARD R. MURROW HS - Brooklyn,DSF0000671767,State of Good Repair - Building Upgrade - Interior Spaces,2010,2775094,K525,0101000020E6100000EEA41901627D52C0B1FECFA2544F4440,12390,314
78K,EDWARD R. MURROW HS - Brooklyn,DSF0000761157,State of Good Repair - System Replacements - Parapets,2014,859294,K525,0101000020E6100000EEA41901627D52C0B1FECFA2544F4440,12390,314
78Q,ELMHURST EDUCATIONAL CAMPUS - Queens,DSF0000688295,Safety and Security - Safety and Security - Code Compliance,2010,1028812,Q744,0101000020E6100000FCC6AA9EC67752C0E54DCF6C265F4440,12390,404
78K,E NY VOC HS OF TRANSIT TECH. - Brooklyn,DSF0000717128,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2013,1486672,K615,0101000020E6100000FDA59701087852C03F5EF17AE0564440,12390,305
78K,ERASMUS HALL CAMPUS - Brooklyn,DSF0000671527,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2011,3478712,K465,0101000020E61000000D4B9933417D52C0ED4E676425534440,12390,314
78K,ERASMUS HALL CAMPUS - Brooklyn,DSF0000687150,Educational Enhancements - Educational Enhancements - School Improvement and,2010,1845931,K465,0101000020E61000000D4B9933417D52C0ED4E676425534440,12390,314
78X,EVANDER CHILDS HS - Bronx,DSF0000688520,Low-Voltage Electrical Systems,2011,586627,X425,0101000020E610000029547E05257752C0662BC40D06704440,12390,212
78X,EVANDER CHILDS HS - Bronx,DSF0000776025,Safety and Security - Safety and Security - Safety Systems,2014,195900,X425,0101000020E610000029547E05257752C0662BC40D06704440,12390,212
78X,EVANDER CHILDS HS - Bronx,DSF0000708518,State of Good Repair - System Replacements - Heating Plant Upgrade,2011,46449,X425,0101000020E610000029547E05257752C0662BC40D06704440,12390,212
78X,EVANDER CHILDS HS - Bronx,DSF0000688300,Educational Enhancements - Educational Enhancements - Room,2010,130766,X425,0101000020E610000029547E05257752C0662BC40D06704440,12390,212
78X,EVANDER CHILDS HS - Bronx,DSF0000685736,State of Good Repair - System Replacements - Electrical Systems,2011,1342536,X425,0101000020E610000029547E05257752C0662BC40D06704440,12390,212
78Q,FAR ROCKAWAY HS - Queens,DSF0000687149,Educational Enhancements - Educational Enhancements - School Improvement and,2010,1657203,Q465,0101000020E610000046949893DE7052C0D784FD53064D4440,12390,414
78Q,FAR ROCKAWAY HS - Queens,DSF0000746081,State of Good Repair - System Replacements - Auditorium Upgrade,2013,2108834,Q465,0101000020E610000046949893DE7052C0D784FD53064D4440,12390,414
78M,FASHION INDUSTRIES VOC HS - Manhattan,DSF0000408007,State of Good Repair - Building Upgrade - Climate Control,2010,3574564,M600,0101000020E6100000DF688E47C47F52C0B26ED627725F4440,12390,104
78M,FASHION INDUSTRIES VOC HS - Manhattan,DSF0000755246,Educational Enhancements - Educational Enhancements - School Improvement and,2014,2824504,M600,0101000020E6100000DF688E47C47F52C0B26ED627725F4440,12390,104
78M,FASHION INDUSTRIES VOC HS - Manhattan,DSF0000720511,State of Good Repair - System Replacements - Windows,2013,7767389,M600,0101000020E6100000DF688E47C47F52C0B26ED627725F4440,12390,104
78M,FIORELLO LAGUARDIA HS - Manhattan,DSF0000675371,State of Good Repair - System Replacements - Roofs,2010,4070290,M485,0101000020E6100000782140F8197F52C0768B089D18634440,12390,107
78M,FIORELLO LAGUARDIA HS - Manhattan,DSF0000609721,State of Good Repair - System Replacements - Windows,2010,6558321,M485,0101000020E6100000782140F8197F52C0768B089D18634440,12390,107
78Q,FLUSHING HS - Queens,DSF0000775974,Educational Enhancements - Educational Enhancements - School Improvement and,2013,1271483,Q460,0101000020E6100000F0377B3EE97452C0B620680BEB614440,12390,407
78Q,FOREST HILLS HS - Queens,SCA0000021454,State of Good Repair - System Replacements - Exterior Masonry,2013,7474783,Q440,0101000020E61000002DC9788E107652C0D150677D695D4440,12390,406
78Q,FOREST HILLS HS - Queens,DSF0000791601,Safety and Security - Safety and Security - Safety Systems,2014,335190,Q440,0101000020E61000002DC9788E107652C0D150677D695D4440,12390,406
78Q,FOREST HILLS HS - Queens,DSF0000614358,State of Good Repair - System Replacements - Paved Area-Concrete,2011,6450885,Q440,0101000020E61000002DC9788E107652C0D150677D695D4440,12390,406
78K,FORT HAMILTON HS - Brooklyn,DSF0000738100,State of Good Repair - System Replacements - Auditorium Upgrade,2013,100197,K490,0101000020E6100000A1531AE9848252C0280B125447504440,12390,310
78K,FORT HAMILTON HS - Brooklyn,DSF0000753033,Educational Enhancements - Educational Enhancements - School Improvement and,2012,583508,K490,0101000020E6100000A1531AE9848252C0280B125447504440,12390,310
78K,FORT HAMILTON HS - Brooklyn,DSF0000671618,State of Good Repair - Building Upgrade - Climate Control,2010,1352091,K490,0101000020E6100000A1531AE9848252C0280B125447504440,12390,310
78K,FORT HAMILTON HS - Brooklyn,DSF0000404510,State of Good Repair - System Replacements - Heating Plant Upgrade,2010,10366054,K490,0101000020E6100000A1531AE9848252C0280B125447504440,12390,310
78Q,FRANCIS LEWIS HS - Queens,DSF0000679887,State of Good Repair - Building Upgrade - Flood Elimination,2011,1298222,Q430,0101000020E61000008504D284D17252C03E975D72D05E4440,12390,411
78Q,FRANCIS LEWIS HS - Queens,DSF0000679896,State of Good Repair - System Replacements - Fencing,2011,720702,Q430,0101000020E61000008504D284D17252C03E975D72D05E4440,12390,411
78Q,FRANCIS LEWIS HS - Queens,DSF0000679895,State of Good Repair - System Replacements - Paved Area-Concrete,2011,1616403,Q430,0101000020E61000008504D284D17252C03E975D72D05E4440,12390,411
78K,FRANKLIN D. ROOSEVELT HS - Brooklyn,DSF0000738160,State of Good Repair - System Replacements - Heating Plant Upgrade,2012,69793,K505,0101000020E61000000EA0E51CDF7E52C07F1D93C0844F4440,12390,312
78Q,FRANKLIN K. LANE HS - Queens,DSF0000710072,Educational Enhancements - Educational Enhancements - Room,2011,250489,K420,0101000020E610000042150EFA9E7752C00D9261E3B4584440,12390,305
78K,GEORGE WESTINGHOUSE VOC HS - Brooklyn,DSF0000798590,Educational Enhancements - Educational Enhancements - Room,2014,769315,K580,0101000020E61000008810532E147F52C0F7A8C7FD03594440,12390,302
78K,GEORGE WESTINGHOUSE VOC HS - Brooklyn,DSF0000775968,Educational Enhancements - Educational Enhancements - Room,2013,219000,K580,0101000020E61000008810532E147F52C0F7A8C7FD03594440,12390,302
78K,GEORGE WESTINGHOUSE VOC HS - Brooklyn,DSF0000688197,Educational Enhancements - Educational Enhancements - Room,2010,511707,K580,0101000020E61000008810532E147F52C0F7A8C7FD03594440,12390,302
78K,GEORGE WESTINGHOUSE VOC HS - Brooklyn,DSF0000775802,Educational Enhancements - Educational Enhancements - Room,2013,551794,K580,0101000020E61000008810532E147F52C0F7A8C7FD03594440,12390,302
78K,GEORGE WESTINGHOUSE VOC HS - Brooklyn,DSF0000671789,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2011,767850,K580,0101000020E61000008810532E147F52C0F7A8C7FD03594440,12390,302
78K,GEORGE WESTINGHOUSE VOC HS - Brooklyn,DSF0000710932,Educational Enhancements - Educational Enhancements - Room,2012,2226777,K580,0101000020E61000008810532E147F52C0F7A8C7FD03594440,12390,302
78X,GRACE H. DODGE VOC HS - Bronx,DSF0000799360,Educational Enhancements - Educational Enhancements - Room,2014,299942,X660,0101000020E610000004F809F77A7852C0362224C2786D4440,12390,206
78X,GRACE H. DODGE VOC HS - Bronx,DSF0000799359,Educational Enhancements - Educational Enhancements - Room,2014,333479,X660,0101000020E610000004F809F77A7852C0362224C2786D4440,12390,206
78X,GRACE H. DODGE VOC HS - Bronx,DSF0000799358,Educational Enhancements - Educational Enhancements - Room,2014,432339,X660,0101000020E610000004F809F77A7852C0362224C2786D4440,12390,206
78X,GRACE H. DODGE VOC HS - Bronx,DSF0000799357,Educational Enhancements - Educational Enhancements - Room,2014,664840,X660,0101000020E610000004F809F77A7852C0362224C2786D4440,12390,206
78X,GRACE H. DODGE VOC HS - Bronx,DSF0000775931,Educational Enhancements - Educational Enhancements - Room,2014,297115,X660,0101000020E610000004F809F77A7852C0362224C2786D4440,12390,206
78X,GRACE H. DODGE VOC HS - Bronx,DSF0000774588,State of Good Repair - System Replacements - Heating Plant Upgrade,2014,2382860,X660,0101000020E610000004F809F77A7852C0362224C2786D4440,12390,206
